,author,title,text,source,bias,article_type
0,Amitabh Tiwari,"UP, Bihar Bypoll Results Analysis: Impact of By-Elections on National Politics","In a huge blow to the BJP just a year before the next Lok Sabha elections, the party has lost Gorakhpur and Phulpur bypolls to the SP-BSP duo in Uttar Pradesh. BJP also failed to wrest the Araria Lok Sabha seat in spite of all their big claims   a weakened RJD after Laluâ€™s jail term. What is more humiliating is the fact that both the seats in UP were represented by their top two men, the Chief Minister Yogi Adityanath, and the Deputy Chief Minister Keshav Prasad Maurya, and were both won by huge margins (3 lakh+). In UP,   (Mayawati) and   (Akhilesh) joined hands to take on the BJP, with BSP extending support to SP candidates. Both the parties ran a pilot project which could take the shape of a   in UP for 2019. BJP, which was leading in Gorakhpur by 1.36 lakh votes in 2014, after aggregating BSP and SP votes, lost the seat by 21,881 votes. In the Phulpur seat, BJP, which was leading by 1.44 lakh votes in 2014, still lost the seat by 59,613 votes. BSP has again proved its ability to transfer its votes to its alliance partners. The grand alliance has made a dent in the BJP's vote share: -5 percent in Gorakhpur and -13 percent in Phulpur, indicating the loss of a section of its anchor â€“ the OBC support base. Some Dalits who voted for BJP in 2014 appear to have gone back into the BSP fold. It has a dedicated set of voters in each constituency, which is its biggest strength. This victory may finally give shape to a SP-BSP grand alliance in which the Congress may also join. BJP won one-fourth (71) of its overall tally (282) from UP in 2014. Any loss of seats in UP will directly affect BJPâ€™s ability to cross the halfway mark in Lok Sabha in 2019 and also Modiâ€™s chances to return as Prime Minister even if BJP emerges as the single largest party. The fact that the alliance partners BSP and SP were able to transfer their votes seamlessly will pose greater difficulties for the BJP. The social coalition of Dalits, Adivasis, Yadavs and Muslims, (51 percent of the population) which this grand alliance hopes to create, would pose a significant challenge to the upper caste, Jat and OBC vote block of BJP (49 percent of the population). In Bihar, the RJD and Congress alliance have held onto the Araria Lok Sabha seat (by 61,988 votes) and Jehanabad (by 35,036 votes) assembly seat despite the RJD party patriarch Lalu being in jail. While Jehanabad is a minority-dominated seat, BJP was hopeful of winning the Araria Lok Sabha seat (15 percent Muslim voters) which it had won in alliance with JDU in 2004 and 2009. The results suggest Nitish has lost significant support among the minority community because of his re-entry into NDA. JDU lost 1/3rd of its votes to RJD. While the RJD candidate benefited from the â€˜sympathy factorâ€™ owing to his fatherâ€™s death, Lalu has been able to consolidate his vote base among the minorities, Yadavs and OBCs, alleging a â€˜witch huntâ€™ by the BJP as is evident from a 5 percent increase in vote share in Jehanabad. NDA won 31 out of 40 seats from this state and is the key to the partyâ€™s fortunes in 2019. BJPâ€™s loss in these bypolls gives a fillip to the efforts of the Opposition to form a broad anti-BJP alliance. Sonia Gandhi hosted a dinner for leaders of 20 regional parties yesterday at her residence to kickstart the process. These parties (excluding Left) together recorded 36 percent vote share in 2014, higher than the NDAâ€™s vote share of 34 percent (excluding TDP and Shiv Sena). BJPâ€™s consecutive wins, state after state, and its recent performance in Northeast has made regional parties jittery. In Karnataka, Congress is sweating it out against BJP to save one of its last big turfs. In Kerala, BJPâ€™s strategy is to up the ante against the communists, like in Tripura. Two of the top allies of the BJP â€“ Shiv Sena (18 seats) and TDP (15 seats) â€“ may contest independently. The entry of the JD(U) in NDA will complicate the seat-sharing arrangement in Bihar which could force smaller allies like LJP and RLSP to leave. Jitan Ram Manjhi has already left. The BJP cannot ignore these warning signals. It struggled in Gujarat. It has marketed its Northeast victory as historic, but the fact of the matter is that these three states have only five Lok Sabha seats. Big sections of society â€“ traders, farmers and youth â€“ are increasingly losing patience with the BJP. The fact that it rules 22 out of 31 states is a double-edged sword. It risks facing double anti-incumbency in these states. State leaders canâ€™t push blame to the Centre for non-performance, and similarly, Modi canâ€™t push blame on partyâ€™s/allyâ€™s state leadership for not delivering. To conclude, one year is a long enough time in politics. Everything was hunky-dory for the BJP till about a month ago. Two consecutive losses in its den have turned things upside down and thrown open the contest for 2019. Nothing is certain in politics. If the Opposition is able to overcome its differences and form a   at the national level, it could pose a serious challenge to Modi. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
1,The Quint,Jharkhand court convicts gau rakshaks in lynching-case,"A fast-track court in Jharkhand, on Wednesday, 21 March, sentenced 11 â€˜gau rakshaksâ€™ to life imprisonment for the murder of meat trader Alimuddin in Ramgarh on 29 June 2017. BJP district media in-charge Nityanand Mahto was among the 11 convicted persons. One of the 12 accused is a minor, said Additional Publci Prosecutor SK Shukla. According to PTI, the prosecution has asked the Juvenile Justice Board to treat the minor as an adult in this case. Judge Om Prakash found them guilty under IPC sections 147 (rioting), 148 (rioting with deadly weapons), 149 (unlawful assembly), 435 (mischief by fire or explosive substance) and 302 (murder), reported PTI. In June 2017, Alimuddin, alias Asgar Ansari, was lynched and his vehicle was set ablaze by a mob at Bazartand village near Ranchi. According to The Wire, the defence plans to appeal the conviction soon. According to  , accused Raj Kumar followed Ansari when he left the market 15 km away from Ramgarh at 7:30 am on 29 June. He kept the other accused informed about Ansariâ€™s movements for the next two hours. Ansariâ€™s vehicle was then halted at around 9:30 am near Bazar Tand, where he was attacked and his vehicle was gutted. More than a dozen people, including eight from the Bajrang Dal and local BJP unit, were arrested,   reported. Ansariâ€™s wife, Mariam Khatoon told the media that she was certain that â€œmurder was committed by â€œrogues owing allegiance toâ€ the Bajrang Dal, The Wire report added. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
2,The Quint,Raj Babbar Denies â€˜Rumourâ€™ of Stepping Down as UP Congress Chief - The Quint,"Following speculation in the media, Raj Bhabbar has denied rumours of stepping down as UP Congress chief. The speculation arose against the backdrop of the party's dismal performance in the Lok Sabha bypolls for the Gorakhpur and Phulpur seats. The two Lok Sabha seats had fallen vacant after the resignation of UP Chief Minister Yogi Aditynath and Deputy Chief Minister Keshav Prasad Maurya. Previously, in 2017, Babbar had offered to resign after facing criticism for the partyâ€™s performance in the Uttar Pradesh Assembly elections. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
3,Vivian Fernandes,Maharashtra Farmersâ€™ Protest: Farmers Call Off Protest as Government Accepts all Demands ,"A striking aspect of the â€˜Long Marchâ€™ of Maharashtraâ€™s farmers â€“ that began in Nashik on 6 March and ended in Mumbaiâ€™s Vidhan Sabha precincts on 12 March â€“ was their concern for their fellow citizens despite the hardship that had forced them to undertake the 180-km-long walk, enduring sore feet and hot sun. In September 2016, farmers pouring into Bengaluru from Kolar and Chikkaballapur broke police barricades and caused a lot of damage. The last leg of the Maharashtra farmersâ€™ journey in Mumbai towards the Vidhan Sabha was covered on the night of 12 March, as the farmers were keen not to inconvenience students taking the Secondary School Certificate examinations the next day. â€œWe felt they were our childrenâ€, said Ashok Dhawale, a doctor and the president of the Communist Party of India- Marxistâ€™s All India Kisan Sabha (AIKS), which organised the march. Sensing the mood, Chief Minister Devendra Fadnavis readily conceded to their demand for the extension of loan waiver, and quick implementation of the Forest Right Act, 2006, which gives tribal farmers title to a maximum of ten acres of land they have been cultivating. This time the stateâ€™s Chief Secretary gave them an assurance in writing, which was tabled in the Legislative Assembly. â€œIt is part of the record of the proceedingsâ€, Dhawale said. The decision to undertake the march was taken at a meeting of the AIKS at Sangli on 16 February. For the next 15 days, a campaign was launched to register farmers. At any given time, there were 25,000 marchers, Dhawale said. The numbers swelled along the way and almost doubled in Mumbai. Most of the marchers were from Nashik. They also came from Palghar, Ahmednagar, Pune, Thane and Nandurbar. The cooks would set out early in the morning and reach the designated halts by about 8 am. The food would be ready by the time the marchers arrived at noon. About 15-20 km would be covered in the morning and the same distance after lunch. The marchers relieved themselves along the roads, except in Thane and Mumbai, where arrangements had been made with municipal corporations for mobile toilets. Unlike Kirori Singh Bainsla, leader of Rajasthanâ€™s Gurjar agitation, Gujaratâ€™s Patidar leader Hardik Patel, the stateâ€™s Dalit leader Jignesh Mevani, or those of the Karni Sena protesting the release of the film â€˜ â€™, Dhawale was not conspicuously visible. But he has a record of activism. Hailing from a family of medical doctors, Dhawale, who is based in Thane, cut his political teeth in the Students Federation of India while studying medicine in Mumbai, and doing his MA in Political Science from Mumbai University. He joined the AIKS in 1993, inspired by Godavari Parulekar, who led the pre-Independence Warli Adivasi revolt. In 2017, Dhawale became the president of AIKS. A year of plenty saw the price of pulses slump. Cotton has been damaged extensively by the pink bollworm. In June 2017, the stateâ€™s farmers agitated for 11 days. They refrained from selling milk, vegetables and fruits to cities, resulting in the state announcing a loan waiver. In March 2016, thousands of tribal farmers sat-in at the Nashik Collectorate to press for their demands. In October 2016, they laid siege to the Adivasi Development Ministerâ€™s residence in Palghar. Dhawale admits that loan waivers will provide only temporary relief. The solution to agrarian distress, in his view, is the â€œcomplete abandonment of neo-liberal policies followed since 1992â€. These policies, he says, have led to four lakh farmers committing suicide â€“ 70,000 of them in Maharashtra alone. But open trade actually helped Indian farmers during the global commodity boom of the last decade. It is only after 2013, when commodity prices slumped that farmers have suffered. Domestic policies that privilege the interests of urban consumers over those of farmers must be blamed too. When prices rise, the government shuts the door on exports to quell prices, but when they slump, it does not provide price support. Farmers suffer on both counts. The Maharashtra government told the agitators that the Centre has made a commitment to procure cereals, pulses and oil seeds at cost plus 50 percent. By â€œcostâ€ Dhawale means all cash expenses incurred in production, the imputed family labour cost and also the rental value of land. But economist Ashok Gulati has shown that this will raise the minimum support price of groundnut, soyabean and maize by 40 percent. If procured at those prices, they will have to be sold at a loss. This is the best insurance against crop failure. Large river-linking projects, which the government proposes, will be disruptive. The AIKS has given a proposal for small dams and lift irrigation. Construction of wells on a large scale, harnessing of rain water and micro-irrigation for frugal use of scare water might be better solutions. Farmers also need to be provided with seeds that are resilient, that is, those that can survive long dry spells, or resist pest and disease attacks. The most promising technology is genetic modification, but both the communists and the BJP government are opposed to it, even though farmers are adopting these technologies clandestinely. Tribal farmers need to be given land titles quickly. Dhawale says thousands of applications have been rejected, and even when accepted, titles are given for half-an-acre or one acre. He attributes this to the callousness of officials and the apathy of government leaders. He says the government will be held to its promises this time, and its action will be monitored. Most tribal farmers do subsistence farming. They grow rice and ragi (finger millet) for a part of the year, and migrate to cities for jobs. Till conditions are created for profitable agriculture, giving them a monthly relief cheque, to relieve distress might be a better option. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
4,The Quint,Kolkata News Today: QKolkata: Mamata Bans Display Of Arms On Ram Navami & More,"Chief Minister Mamata Banerjee has asked police to prevent display of arms during Ram Navami processions on 25 March. All police stations in Bengal have also been told to be on alert during the rallies. Speaking at the administrative meeting in Hooghlyâ€™s Gurap on Tuesday, 20 March, Banerjee said: â€œI would ask police inspectors to keep a list of local clubs, NGOs, temples, mosques and churches in the area and keep in touch with them. I say this as part of community development to avert communal tension.â€ The CMâ€™s words came hours before BJP state president Dilip Ghosh announced that rallyists will continue with the tradition of carrying arms. â€œRallyists will carry arms as they do while taking out Ram Navami processions. I will also be there and carry a gada (mace) in one of the rallies,â€ Ghosh said at Howrah after a party meeting, days after RSSâ€™s Bengal unit announced that it wonâ€™t carry arms during Ram Navami rallies. (Source:  ) The oxygen cylinder inside the â€˜ICCU ambulance,â€™ which brought critically ill Madhyamik examinee Abhijit Das to a Kolkata hospital from a Burdwan nursing home last week, was empty by the time the vehicle reached Dankuni. The replacement cylinder had faulty pressure knobs and could not be used to supply oxygen to Das, leading to his death in transit. When the first cylinder ran out of oxygen near Dankuni, Sk Sarfarajuddin, the AC mechanic who posed as a doctor and accompanied the patient, said he did not know how to replace it. It was then left to ambulance driver Tara Babu Sha, who tried several times to fix the cylinder; but it did not work. (Source:  Stirred by the ongoing controversy over the quality of chicken available in markets, major eateries in Kolkata have started taking a host of measures â€” from checking the tenderness of each piece to buying live chicken instead of dressed ones â€” to ensure there is no compromise with the quality of food. At Nizamâ€™s in Esplanade, the management has stopped buying dressed chicken for the last four days. Instead, they are buying live chicken from the supplier. â€œWe trust our supplier but cannot take any chance at the moment. Hence, we have asked the supplier to not to provide us with dressed meat anymore. We are buying live chicken from him,â€ said Kartick Mukherjee, the chief administrator of Nizamâ€™s. (Source:  A father has been sentenced to five years in jail for repeated aggravated sexual assault on his 13-year-old daughter in the presence of her five-year-old brother within 10 days of the crime being reported to the police. The 46-year-old man, a roadside hawker, was convicted of sexually abusing his daughter night after night since his wife died last year. A complaint had been lodged with Entally police station on 11 March and a Sealdah court gave its verdict under the Protection of Children from Sexual Offences (Pocso) Act, 2012, on Tuesday, 20 March. The girl, who will be 18 when her father steps out of jail, and her brother are currently living with their grandparents. (Source:  The textbooks and notes of a Madhyamik examinee were charred in a fire that broke out in a cardboard box and carton manufacturing unit at Jawpur on Dum Dum Road on Tuesday, 20 March. Rajkumar Singh, a student of class 10 at Adarsh Madhyamik Vidyalaya, was writing his life science exam at Dumdum Airport Hindi High School when the fire broke out around noon. The flames soon spread to the one- room tenement adjacent to the factory, around 2km from Nagerbazar, that Rajkumar shared with his parents. "" I returned home to find that all my books and notes have been reduced to ashes. I don't know what to do now but I am lucky as all the seven compulsory papers are over,"" Rajkumar told Metro over phone. (Source:  A Bata wore a Bata at a Bata store in the city on Tuesday, 20 March. Christine Bata Schmidt, the granddaughter of Bata founder Tomas Bata, visited the store in South City in the afternoon to launch a CSR campaign. It was no surprise that Christine chose Calcutta to launch the project. ""Calcutta will remain our heart in India,"" Christine, a director of Bata Shoe Organisation, the holding company of Bata India, said. In the early 1920s, Czech shoemaker Tomas came to India to source rubber and leather. Most Indians walked barefoot then and he sensed an opportunity. In 1931, he set up a factory in Konnagar. The unit started producing rubber and canvas shoes for the first time in India. Later the factory was moved to what came to be known as Batanagar. (Source:  A retired deputy secretary of the state government, along with his wife, was found dead on Monday night, 19 March, with his throat slit multiple times â€” at their home on Beni Master Lane in Behala near Shakuntala Park  The police, who are awaiting the post-mortem report, suspect Rathindranath Roy (73) first killed his wife and then ended his life but they have not completely ruled out the possibility of a double murder. However, the contents of three notes recovered from the spot, and the sequence of events described by the coupleâ€™s family, have strengthened the policeâ€™s belief of a possible suicide pact. Roy was reportedly devastated when his wife, Meenakshi (62), recently got bed-ridden following a cerebral stroke two years ago and seemed upset their son and daughter could not be with them, despite their best intentions, police said. (Source:  (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
5,Abheek Barman,Passage of Finance Bill 2018-2019 Without Debate or Discussion Shows BJPâ€™s Anti-Democratic Mentality,"On 1 February, it took Finance Minister Arun Jaitley 108 minutes to read out his Budget proposals for 2018-19. Between sips of water, he described what taxes, cesses and surcharges youâ€™ll pay and how the government will spend that money, and then some, through 12 months beginning 1 April. Since 5 March, when Parliament started again, the Lok Sabha has been rocked by legislators demanding answers from the government on contentious issues like the Nirav Modi-Mehul Choksi scam that has shaken global confidence in our banks. Then on 14 March, the Parliament took exactly 30 minutes, less than 28 percent of the time Jaitley had spent on his speech, to approve of all taxation and spending proposals. Not one item about 21 tweaks to tax laws and hundreds of pages detailing  spending was debated by lawmakers directly elected to the Lower House of Parliament. This procedure of bulldozing complex legislation through the Lok Sabha is called the â€˜guillotine.â€™ It is named after the (erstwhile) â€˜favouriteâ€™ instrument of the French to â€˜enforce weight-lossâ€™ â€“ by cutting oneâ€™s head from the rest of the body. The lawmakersâ€™ guillotine, enforced by the Speaker, simply groups some or all of legislation into one bunch and gets it passed (in haste) by a voice vote. Since last year, finances of the Railways (Indiaâ€™s biggest employer and a big spender) have been part of the general Budget. Itâ€™s where finances also chugged into the guillotine. So, in supposedly the worldâ€™s largest democracy, the government has unilaterally decided to spend nearly Rs 90 lakh crore without a word of explanation or discussion. The Opposition, naturally, calls this the â€œmurder of democracy.â€ In some ways, it is correct. The Budget is a â€˜money billâ€™ which involves government finances. It does not need to be cleared by the Rajya Sabha, where the ruling BJP lacks a majority, nor can the President withhold approval for more than a fortnight. In the earlier instance, the newly-elected UPA-I government had a fig leaf: the Budget Session had very little time. This year, even that excuse does not hold â€“ there are three more weeks left in this session. There are three possible explanations, none of which contradicts the other, to explain this behaviour. Madhav Sadashiv Golwalkar, otherwise called â€˜Gurujiâ€™, was the most influential leader and theorist of the Rashtriya Swayamsevak Sangh (RSS), the parent of todayâ€™s BJP. Golwalkar led the RSS from 1940 to the 1970s. He had no time for the â€˜messy businessâ€™ called democracy. Sometime in the 1950s, he wrote: â€œThe Rajasuya and the Ashwamedha Yagnas had but one chief motive and that was to bring the whole of Bharat under the supreme political authority of a single Chakravarti.â€ Of course, when political authority stems from the sacrifice of a horse, minor things like the Constitution could be scrapped or re-written. Despite these foundational beliefs, todayâ€™s BJP is forced to lobby for votes, appeal to different kinds of Indians, peddle different promises to different constituents. But every time it gets a chance to subvert democracy, like shoving a Rs 90 lakh-crore Budget down the Parliamentâ€™s gullet in 30 minutes, it jumps at it. The mythical horse of   might not be at hand, but at least thereâ€™s a parliamentary guillotine to seek consolation in.   (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
6,TS Sudhir,Siddaramaiah Ups Ante With â€˜Lingayat Moveâ€™ Amid BJP Threat to Cong - The Quint,"Those in the Karnataka Congress call it an acknowledgement of a decades-old demand to accord a separate religion status to Lingayats. Those in the BJP dub Chief Minister Siddaramaiah's move as a naked ploy to divide the Hindus and play vote bank politics. Though this decision has been seen mainly through the political prism, there is a complex religious angle to it as well. At the heart of this controversy is the Lingayat vs Veerashaiva dispute. Lingayats are classified as OBCs in Karnataka and follow the teachings of Basaveshwara, a 12th century social reformer. Basavanna, as he is popularly called, fought against the inequalities in the Hindu social order by establishing a different religious stream. Veerashaivism on the other hand, is an order of the Shaiva faith, with Lord Shiva as the presiding deity. Basavanna's spiritual and reformist ideas attracted many people from across the country and that included some Shaivite brahmins from present-day Andhra Pradesh. Over centuries, the practice of Shaivism got mixed up with Basavanna-established Lingayatism. The Veerashaivas however, prayed in temples and believed in idol worship. In effect, Basavanna and fellow Lingayats rebelled against Hindu religion. This is why there has been a demand among Lingayats to be recognised as a religion separate from Hinduism. The committee incidentally also gave religious minority status under the Karnataka State Minorities Act to those Veerashaivas who have faith in Basavanna's philosophy. This will mean most of the Lingayat-Veerashaiva community will be out of Hindu religion, barring those Veerashaivas who believe in Hindu rituals. But it gained momentum only during the 2011 census, when a few Lingayat organisations campaigned to tell fellow community members not to register themselves as Hindus. More recently, a Lingayat gathering in Bidar in July last year pressed the demand for a separate religious identity. While Water Resources Minister MB Patil and Higher Education Minister Basavaraj Rayaredy, both Lingayats, favored accepting the committee report, Municipal Administration Minister Eshwar Khandre and Horticulture Minister SS Mallikarjun â€“ both Veerashaivas â€“ opposed the move. On the ground, the Congress is seen as dividing the Hindu community. Even the religious seers were seen in two different camps â€“ some for, others against. By Monday evening, clashes between Lingayats and Veerashaivas were reported from Kalburgi district in north Karnataka. There is a reason why a majority in the ruling party was in favour of according religious minority status to Lingayats. The community, with a population between 10 and 17 percent (according to two different Census) has traditionally favoured the BJP, motivated to a large extent by the presence of BS Yeddyurappa, the tallest Lingayat leader in Karnataka. Yeddyurappa says that both Lingayats and Veerashaivas belong to the same Hindu community. The politically and economically powerful community has the potential and the influence to decide the election in about one hundred of the 224 assembly constituencies, most of them in the northern part of Karnataka. One in every four MLAs in the present Karnataka assembly is a Veerashaiva or a Lingayat. The lure of a separate religion status also has a financial angle to it. A minority religion status will confer financial advantages in the form of tax waivers, upon educational institutions run by Lingayat owners. For Lingayat students and youths, it would mean reservations in the future in jobs and educational institutions. Now if the Centre sits on it, Siddaramaiah during the election campaign can blame the BJP for denying Lingayats their due. It says the Congress has taken the decision even when there was no mass uprising making the demand. What adds to the BJP's worries is that in 2013, Yeddyurappa was one of the signatories among several Lingayat politicians to a petition to the Centre asking for the community to be counted as a separate religion in the Census. On Monday, Congress flagged Yeddyurappa's signature as proof of his doublespeak over social media platforms. With the BJP's aggressive brand of Hindutva and nationalism making it difficult for the Congress to take an open pro-Muslim line for fear of being branded a Muslim party, Siddaramaiah has hit back by creating a local religious-political idiom. This month, the BJP dubbed the CM as â€˜jihadiâ€™, thereby raising the Congress hackles. Siddaramaiah has hit back by exposing the fault lines within the BJP's traditional vote bank. The explosive move has the potential to completely backfire on Siddaramaiah or turn out to be a political masterstroke. The summer of 2018 will hold the answer. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
7,The Quint,Sankara Mutt Banner Torn In Response to  Periyar Statue Vandalism? - The Quint,"In another â€˜tit-for-tatâ€™ incident, the banner of the Sankara mutt in Salem was torn on 20 March, and a light in their campus damaged, allegedly by members of the Dravida Vidudhalai Kazhagam (DVK).  The incident comes after a Periyar statue in Pudukkottai was vandalised in the wee hours of Tuesday. Salem police tell TNM that the act of vandalism was primarily due to the incident at Pudukkottai. But they do not discount the tension created by the Rama Rajya Rath Yatra either. The mutt is located at Maravaneri in Salem. Three members of the DVK were arrested by the Hastampatti police after the incident. Krishnan (38), organiser of the DVK in Salem district, Rajendran (37) who is DVK's Nangavalli Town President and his deputy Manoj (30) were arrested by the police. This is the latest in a series of incidents kicked off by the remarks made by BJP national secretary H Raja on his verified Facebook account, following the razing of the Lenin statue in Tripura earlier this month. While H Raja subsequently deleted the post, and claimed it was made by an admin without his permission, the remark had already set off a chain of vandalism in the state. Hours after the post was put up, a Periyar statue was vandalised in Vellore, and in retaliation, several petrol bombs were thrown at the BJP office in Coimbatore. The vandalised Periyar statue was discovered in Pudukkottai in the wee hours of Tuesday even as TN braced itself for the Rama Rajya Ratha Yatra amidst much opposition. The Periyar statue was eight feet tall and made of cement. It was inaugurated of P Veeramani of the Dravidar Kazhagam in 2013. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
8,The Quint,â€˜Schizophrenicâ€™ CRPF Jawan Held for Beheading Periyar Statue in TN - The Quint,"A CRPF jawan was arrested for vandalising the statue of Dravidian ideologue â€˜Periyarâ€™ EV Ramasamy, in Tamil Naduâ€™s Pudukkottai district. The head of the statue was torn apart on Tuesday, 20 March, and was reinstated a few hours later. Senthil Kumar, the jawan, has been placed under suspension and the CRPF said he is under treatment for Schizophrenia and was on a 30-day leave when the incident happened, ANI reported on Wednesday. â€œAll of the statues of Periyar must be given due protection across Tamil Nadu,â€ DMKâ€™s working president MK Stalin reportedly said after the vandalism. Actor turned politician Rajinikanth condemned the vandalism, calling it an â€œact of barbarism.â€ Congress president Rahul Gandhi tweeted saying that by destroying the statue of Lenin in Tripura, the BJP â€œsignalled their cadres to destroy statues of those who opposed their ideology.â€ Earlier in March, another statue of Periyar was vandalised in Vellore. Two men, one of them a Bharatiya Janata Party (BJP) worker, was arrested in connection with the attack. BJP national secretary H Raja, in a  , had said, ""Who is Lenin? What is his connection to India? What is the connection of communists to India? Lenin's statue was destroyed in Tripura. Today Lenin's statue, tomorrow Tamil Nadu's EVR Ramaswami's statue,â€ allegedly triggering the attack. Hours after the Assembly election results of Tripura were announced on 3 March, a statue of the communist icon Vladimir Lenin was bulldozed by a group of right wing supporters in the stateâ€™s Belonia town, triggering a series of attacks on statues of political leaders. Statues across India, including those of Shyama Prasad Mookerjee, BR Ambedkar and Mahatma Gandhi were also vandalised.   (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
9,PTI,"Irked by Parliamentary Disruptions,  Naidu Cancels Dinner for MPs - The Quint","Anguished over disruptions in the working of the Rajya Sabha, Chairman M Venkaiah Naidu on 20 March cancelled a dinner he was to host for members of the Upper House on Wednesday. According to sources, preparations for the dinner were completed last week. Naidu had even spoken to the President, the Prime Minister, the Leader of the House, the Leader of Opposition and floor leaders of various parties whom he had invited. Invitation cards were kept ready. Naidu had expected the House proceedings would normalise by Tuesday. At a meeting with the floor leaders of various parties in his chamber on Tuesday, the RS Chairman conveyed anguish over the ongoing stalemate in the House and informed them of his decision to cancel the dinner. Naidu was of the view that it would not be appropriate to go ahead with the dinner with the House not functioning for over two weeks, the sources said. He had planned an Andhra Pradesh special dinner, with specialist cooks called from the state. It is learnt that he also refused to inaugurate a badminton tournament for members of Parliament at the Constitution Club last week. (What does the first-time woman voter want? The Quint's   campaign is telling you. ",quint,left,political
