Genre,Review,Positive or Negative
 Location,"The location of this Airbnb was perfect, close to all the popular attractions. ",1
 Cleanliness,"The cleanliness of the Airbnb was outstanding, everything was spotless. ",1
 Neighborhood,The neighborhood where this Airbnb is situated was vibrant and full of life. ,1
 Security,I felt completely safe and secure during my stay at this Airbnb. ,1
 Pet Friendliness,"They were so welcoming to my pet, it felt like a home away from home. ",1
 Host,The host was incredibly helpful and accommodating. ,1
 Location,The location of this Airbnb was a bit far from the city center. ,0
 Cleanliness,"The cleanliness of the Airbnb could have been better, there were some dusty areas. ",0
 Neighborhood,The neighborhood where this Airbnb is located was noisy and crowded. ,0
 Security,I had some concerns about the security of the building. ,0
 Pet Friendliness,"Unfortunately, this Airbnb did not allow pets. ",0
 Host,The host was unresponsive and difficult to reach. ,0
 Location,"The location of this Airbnb was amazing, with stunning views. ",1
 Cleanliness,"The cleanliness of the Airbnb was impeccable, I was impressed. ",1
 Neighborhood,The neighborhood where this Airbnb is situated was peaceful and charming. ,1
 Security,I felt very safe and secure in this well-guarded Airbnb. ,1
 Pet Friendliness,"They provided all the necessary amenities for my pet, it was fantastic. ",1
 Host,"The host was incredibly friendly and helpful, making my stay enjoyable. ",1
 Location,"The location of this Airbnb was a bit isolated, far from amenities. ",0
 Cleanliness,"The cleanliness of the Airbnb was subpar, there were some stains on the linens. ",0
 Neighborhood,The neighborhood where this Airbnb is located had limited dining options. ,0
 Security,"I had concerns about the security of the neighborhood, especially at night. ",0
 Pet Friendliness,"Unfortunately, this Airbnb did not allow pets, which was disappointing. ",0
 Host,The host was unresponsive to my inquiries and requests. ,0
 Location,The location of this Airbnb was conveniently located near public transportation. ,1
 Cleanliness,"The cleanliness of the Airbnb exceeded my expectations, it was spotless. ",1
 Neighborhood,The neighborhood where this Airbnb is situated had a vibrant nightlife scene. ,1
 Security,I felt secure and comfortable with the provided security measures at this Airbnb. ,1
 Pet Friendliness,"They welcomed my pet with open arms, providing pet beds and bowls. ",1
 Host,The host was incredibly friendly and went above and beyond to make my stay memorable. ,1
 Location,The location of this Airbnb was a bit noisy due to construction nearby. ,0
 Cleanliness,"The cleanliness of the Airbnb was mediocre, there were some dust and dirt in corners. ",0
 Neighborhood,The neighborhood where this Airbnb is located was a bit rough and run-down. ,0
 Security,I didn't feel completely safe in the surrounding area of this Airbnb. ,0
 Pet Friendliness,"Unfortunately, this Airbnb did not allow pets, making it inconvenient for pet owners. ",0
 Host,The host was unresponsive to my messages and requests for assistance. ,0
,,
,,
 Location,"The Airbnb was conveniently located near public transportation, making it easy to get around. ",1
 Location,"I loved how close this Airbnb was to the beach, providing stunning views and easy access. ",1
 Location,The Airbnb's location in a quiet residential area was ideal for a peaceful getaway. ,1
 Location,"Unfortunately, the Airbnb was situated in a remote area, far from the main attractions. ",0
 Location,"The location of the Airbnb was noisy, with traffic and nightlife nearby. ",0
 Location,I had difficulty finding the Airbnb due to poor signage and confusing directions. ,0
 Location,"The Airbnb was far from public transportation, making it challenging to explore the city. ",0
 Location,"The location of the Airbnb was not as described, and it took longer to reach the city center. ",0
,,
 Cleanliness,"The cleanliness of the Airbnb was exceptional, with spotless rooms and fresh linens. ",1
,,
 Cleanliness,I appreciated the attention to detail in maintaining the cleanliness of the Airbnb. ,1
 Cleanliness,"The Airbnb was well-maintained and cleaned regularly, ensuring a comfortable stay. ",1
 Cleanliness,"Unfortunately, the cleanliness of the Airbnb fell short, with dirty floors and dusty surfaces. ",0
 Cleanliness,"There were unpleasant odors in the Airbnb, indicating a lack of thorough cleaning. ",0
 Cleanliness,"The bathroom in the Airbnb was not cleaned properly, with visible stains and hair. ",0
 Cleanliness,"I encountered pests in the Airbnb, indicating a lack of pest control measures. ",0
 Cleanliness,The bedding in the Airbnb had stains and didn't appear to be freshly laundered. ,0
 Cleanliness,"The cleanliness of the kitchen in the Airbnb was disappointing, with dirty utensils and countertops. ",0
,,
 Neighborhood,The neighborhood where the Airbnb was located had a friendly and welcoming atmosphere. ,1
,,
 Neighborhood,I loved exploring the vibrant neighborhood with its unique shops and local cafes. ,1
 Neighborhood,"The Airbnb was situated in a picturesque neighborhood, perfect for leisurely walks. ",1
 Neighborhood,"Unfortunately, the neighborhood surrounding the Airbnb felt unsafe and insecure. ",0
 Neighborhood,There was a lack of amenities and dining options in the immediate neighborhood. ,0
 Neighborhood,"The Airbnb was in a noisy neighborhood, with loud construction and nightlife nearby. ",0
 Neighborhood,"The surrounding neighborhood had a high crime rate, making me feel uneasy during my stay. ",0
 Neighborhood,"I expected more attractions and points of interest in the neighborhood, but it was relatively dull. ",0
,,
 Security,"I felt secure and safe during my stay at the Airbnb, thanks to robust security measures. ",1
,,
 Security,"The Airbnb had secure access controls and surveillance cameras, ensuring peace of mind. ",1
 Security,The neighborhood where the Airbnb was located had a reputation for safety and low crime rates. ,1
 Security,"Unfortunately, I had concerns about the security of the Airbnb, especially regarding door locks. ",0
 Security,The lack of proper lighting in the common areas of the Airbnb made me feel uneasy at night. ,0
 Security,"There were no security features or guards in place, compromising the overall safety of the Airbnb. ",0
 Security,"The neighborhood surrounding the Airbnb had a history of break-ins and thefts, raising security concerns. ",0
 Security,I didn't feel comfortable leaving my belongings unattended in the Airbnb due to inadequate security. ,0
,,
 Pet Friendliness,"The Airbnb was incredibly pet-friendly, providing amenities and even a designated pet area. ",1
,,
 Pet Friendliness,"They welcomed my furry friend with open arms, providing bowls, treats, and a comfortable bed. ",1
 Pet Friendliness,"The neighborhood had plenty of parks and green spaces, perfect for walking my pet. ",1
